Descargas realizadas el 25/07/2022 13:14 de Gestión Embase
__________________________________________________________
01/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
02/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
03/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
04/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
05/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
06/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
07/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
08/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
09/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
10/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 3; 
11/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
12/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
13/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
14/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 15; 
15/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 22; 
16/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
17/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
18/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
19/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
20/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
21/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
22/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
23/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
24/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
25/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
26/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
27/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
28/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
29/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
30/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
31/01/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 9; 
01/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 11; 
02/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
03/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
04/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
05/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
06/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
07/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
08/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
09/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
10/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 11; 
11/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
12/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
13/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
14/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
15/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
16/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
17/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
18/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
19/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
20/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
21/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
22/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
23/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 8; 
24/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
25/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
26/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
27/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
28/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 30; 
29/02/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
01/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
02/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 14; 
03/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 3; 
04/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
05/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 9; 
06/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
07/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
08/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
09/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
10/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
11/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
12/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
13/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
14/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
15/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
16/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
17/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 8; 
18/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
19/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
20/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
21/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
22/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
23/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
24/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 24; 
25/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
26/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
27/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
28/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 12; 
29/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
30/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
31/03/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 2; 
01/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
02/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
03/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
04/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
05/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
06/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
07/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 15; 
08/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
09/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
10/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
11/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 9; 
12/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
13/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
14/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
15/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
16/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
17/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
18/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 66; 
19/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 35; 
20/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 5; 
21/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
22/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
23/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
24/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
25/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
26/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
27/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
28/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 4; 
29/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
30/04/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
01/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 37; 
02/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 92; 
03/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
04/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 44; 
05/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 26; 
